epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,5479.04,1.20749,0.75811,1.1191,0.67595,0.63971,0.64637,0.40197,1.16191,0.58364,1.10995,0.005842,0.005842,0.005842
44,5575.94,1.2068,0.75725,1.119,0.69645,0.6051,0.64703,0.4042,1.16403,0.58319,1.11231,0.005743,0.005743,0.005743
45,5672.67,1.20724,0.75329,1.11921,0.68671,0.63898,0.65262,0.40523,1.16492,0.58169,1.11304,0.005644,0.005644,0.005644
46,5769.31,1.19547,0.74739,1.11094,0.69666,0.63506,0.65694,0.40481,1.16214,0.57924,1.11174,0.005545,0.005545,0.005545
47,5866.06,1.2031,0.74745,1.1118,0.68567,0.6412,0.66143,0.41121,1.16095,0.57607,1.11039,0.005446,0.005446,0.005446
48,5962.75,1.20187,0.74456,1.11257,0.70045,0.63672,0.66315,0.41713,1.16135,0.57338,1.11033,0.005347,0.005347,0.005347
49,6059.33,1.19495,0.73615,1.11042,0.70872,0.64028,0.6656,0.41544,1.16307,0.57228,1.11157,0.005248,0.005248,0.005248
50,6155.87,1.19151,0.73931,1.11064,0.7195,0.62483,0.6698,0.42307,1.1631,0.57109,1.11303,0.005149,0.005149,0.005149
51,6252.4,1.19024,0.73516,1.11006,0.70222,0.63714,0.66672,0.42011,1.16182,0.57072,1.11342,0.00505,0.00505,0.00505
52,6349,1.19225,0.74123,1.11067,0.67231,0.64181,0.6611,0.41801,1.16229,0.57006,1.11342,0.004951,0.004951,0.004951
53,6448.73,1.18723,0.73004,1.10617,0.69998,0.6245,0.66434,0.4175,1.16333,0.56895,1.1131,0.004852,0.004852,0.004852
54,6545.38,1.18809,0.73006,1.10519,0.72345,0.62923,0.66593,0.41866,1.16346,0.56771,1.11267,0.004753,0.004753,0.004753
55,6641.8,1.18624,0.73039,1.10636,0.71812,0.62884,0.66477,0.41925,1.1627,0.56738,1.11213,0.004654,0.004654,0.004654
56,6738.35,1.18476,0.72204,1.10316,0.7166,0.63642,0.66796,0.41725,1.16215,0.56589,1.11207,0.004555,0.004555,0.004555
57,6838.45,1.17754,0.71298,1.09876,0.72938,0.63212,0.66817,0.41875,1.16224,0.56417,1.11193,0.004456,0.004456,0.004456
